Mission ID,Launch_Year,Launch_Month,Launch_Day,Country,Agency,Rocket,Launch_Site,Payload_kg,Launch_Cost_USD,Fuel_Used_Tons,Mission_Duration_Days,Delay_Days,Crew_Size,Weather,Orbit_Type,Satellite_Type,Mission_Status,Failure_Reason,Revenue_USD
144,2002,7,1,France,CNSA,H-IIA,Jiuquan Satellite Launch Center,34881,46000000,624,315,9,4,Cloudy,Polar,Weather,Success,No Failure,223000000
145,2004,11,18,India,ESA,H-IIA,Satish Dhawan Space Centre,42178,155000000,392,190,8,1,Clear,GEO,Weather,Success,No Failure,229000000
146,2014,10,9,Russia,SpaceX,Soyuz,Jiuquan Satellite Launch Center,45438,255000000,736,295,1,7,Storm,Sun-Synchronous,Navigation,Success,No Failure,281000000
147,2013,10,12,Russia,ISRO,GSLV Mk III,Baikonur Cosmodrome,24048,264000000,265,320,0,5,Cloudy,GEO,Navigation,Failure,Navigation Error,396000000
148,2002,10,12,India,ESA,Long March 5,Tanegashima Space Center,49024,471000000,555,253,3,5,Storm,Polar,Scientific,Failure,Software Bug,626000000
149,2000,6,24,USA,JAXA,Starship,Tanegashima Space Center,48015,488000000,796,81,9,2,Clear,Polar,Communication,Success,No Failure,507000000
150,2004,6,26,UAE,SpaceX,Starship,Tanegashima Space Center,45132,104000000,648,60,11,0,Clear,MEO,Navigation,Success,No Failure,240000000
151,2025,7,4,France,ISRO,Falcon Heavy,Kennedy Space Center,23347,433000000,123,105,2,7,Cloudy,Polar,Military,Success,No Failure,629000000
152,2022,4,4,India,Roscosmos,Long March 5,Jiuquan Satellite Launch Center,25816,32000000,855,365,8,3,Clear,Polar,Communication,Success,No Failure,181000000
153,2013,4,13,Japan,ESA,Starship,Satish Dhawan Space Centre,6195,77000000,630,261,2,6,Clear,Sun-Synchronous,Military,Success,No Failure,103000000
154,2006,4,22,China,ESA,GSLV Mk III,Jiuquan Satellite Launch Center,14137,278000000,118,255,2,3,Clear,Polar,Communication,Failure,Fuel Leak,437000000
155,2008,9,14,India,Roscosmos,Starship,Satish Dhawan Space Centre,14378,487000000,272,46,9,0,Cloudy,LEO,Navigation,Success,No Failure,602000000
156,2014,8,5,UAE,JAXA,Falcon Heavy,Jiuquan Satellite Launch Center,37780,119000000,985,132,12,3,Storm,Polar,Weather,Success,No Failure,142000000
157,2014,7,24,UAE,NASA,Falcon 9,Kennedy Space Center,41228,123000000,946,14,6,4,Storm,LEO,Weather,Success,No Failure,173000000
158,2025,5,7,Russia,ISRO,Starship,Baikonur Cosmodrome,46437,280000000,435,267,12,7,Storm,Sun-Synchronous,Navigation,Success,No Failure,297000000
159,2009,5,26,Russia,Roscosmos,GSLV Mk III,Tanegashima Space Center,5386,297000000,930,22,11,1,Storm,MEO,Communication,Success,No Failure,421000000
160,2012,9,24,India,ESA,GSLV Mk III,Tanegashima Space Center,4271,461000000,334,106,1,1,Storm,LEO,Navigation,Success,No Failure,615000000
161,2018,7,2,China,ISRO,Falcon Heavy,Jiuquan Satellite Launch Center,31147,85000000,171,5,10,2,Storm,MEO,Communication,Success,No Failure,228000000
162,2006,5,6,India,JAXA,H-IIA,Kennedy Space Center,39172,108000000,824,181,7,7,Storm,MEO,Navigation,Success,No Failure,188000000
163,2016,11,23,China,ISRO,Ariane 6,Tanegashima Space Center,47186,315000000,782,149,5,7,Clear,LEO,Military,Success,No Failure,374000000
164,2019,5,26,China,NASA,Falcon Heavy,Jiuquan Satellite Launch Center,47693,107000000,490,335,11,4,Storm,GEO,Navigation,Success,No Failure,212000000
165,2003,1,17,UAE,ESA,Ariane 6,Guiana Space Centre,15594,397000000,872,280,10,7,Clear,Polar,Communication,Success,No Failure,449000000
166,2004,8,13,UAE,SpaceX,Soyuz,Jiuquan Satellite Launch Center,20396,24000000,506,13,11,2,Rain,Sun-Synchronous,Scientific,Success,No Failure,156000000
167,2022,12,13,UAE,NASA,Soyuz,Satish Dhawan Space Centre,26174,163000000,213,352,13,3,Cloudy,MEO,Weather,Success,No Failure,309000000
168,2006,3,18,Japan,NASA,H-IIA,Tanegashima Space Center,45265,136000000,312,26,8,5,Clear,GEO,Scientific,Success,No Failure,229000000
169,2012,7,26,UAE,SpaceX,Soyuz,Tanegashima Space Center,46846,290000000,141,40,7,6,Cloudy,MEO,Navigation,Success,No Failure,341000000
170,2014,1,7,France,SpaceX,Ariane 6,Guiana Space Centre,28059,224000000,827,282,3,1,Cloudy,GEO,Communication,Failure,Software Bug,278000000
171,2010,10,22,Russia,JAXA,Falcon 9,Baikonur Cosmodrome,24987,94000000,385,286,7,6,Rain,Sun-Synchronous,Weather,Failure,Navigation Error,142000000
172,2003,2,20,Russia,JAXA,GSLV Mk III,Jiuquan Satellite Launch Center,12075,99000000,635,64,3,2,Storm,GEO,Navigation,Success,No Failure,174000000
173,2012,6,4,China,NASA,H-IIA,Baikonur Cosmodrome,18728,37000000,984,111,10,6,Rain,Sun-Synchronous,Scientific,Success,No Failure,110000000
174,2006,11,3,Russia,ISRO,Soyuz,Jiuquan Satellite Launch Center,4424,236000000,363,329,14,2,Clear,Polar,Weather,Success,No Failure,434000000
175,2018,6,5,USA,Roscosmos,GSLV Mk III,Guiana Space Centre,48969,450000000,651,88,4,4,Clear,GEO,Navigation,Failure,Fuel Leak,625000000
176,2021,6,28,China,Roscosmos,Falcon Heavy,Baikonur Cosmodrome,29597,121000000,915,124,10,6,Clear,MEO,Weather,Success,No Failure,196000000
