brands,processor,ram_gb,Storage_gb,gpu,screen_size,battery_hours,weight_kg,use_cases,processor_score,gpu_scores,price,model
Lenovo,Ryzen 7,32,512,GTX 1650,13.8,9.9,2.0,Gaming,3,1,233300.0,Lenovo Ryzen 7 32GB
ASUS,Core i5,8,1024,Integrated,16.2,10.5,1.8,Design,2,0,187200.0,ASUS Core i5 8GB
Apple,M1,64,1024,RTX 4060,14.1,8.8,2.2,Design,3,5,507400.0,Apple M1 64GB
HP,Core i5,4,256,RTX 3050,13.8,10.2,1.4,Design,2,3,240900.0,HP Core i5 4GB
HP,Core i5,12,256,RTX 4060,15.0,7.3,2.9,Video Editing,2,5,351500.0,HP Core i5 12GB
Lenovo,M1,4,512,RTX 3050,16.5,8.7,2.3,Programming,3,3,250100.0,Lenovo M1 4GB
HP,Core i7,12,2028,RTX 4060,16.3,11.4,2.6,Gaming,3,5,431900.0,HP Core i7 12GB
Acer,Ryzen 7,32,512,RTX 4060,13.5,12.7,1.5,Video Editing,3,5,405200.0,Acer Ryzen 7 32GB
HP,Core i3,8,256,RTX 4060,15.1,8.3,1.9,Gaming,1,5,305100.0,HP Core i3 8GB
ASUS,Ryzen 5,4,512,RTX 3050,15.4,4.4,2.0,Gaming,2,3,231300.0,ASUS Ryzen 5 4GB
ASUS,Core i3,64,256,RTX 3050,15.9,5.6,2.7,Programming,1,3,382400.0,ASUS Core i3 64GB
MSI,Ryzen 5,32,512,RTX 4060,15.9,4.2,1.2,Design,2,5,384400.0,MSI Ryzen 5 32GB
ASUS,Core i3,4,256,GTX 1650,14.8,10.5,1.7,Programming,1,1,154100.0,ASUS Core i3 4GB
MSI,M1,64,256,RTX 2050,15.5,7.3,3.0,Video Editing,3,2,340500.0,MSI M1 64GB
ASUS,Ryzen 7,4,256,RTX 2050,15.2,9.4,2.1,Video Editing,3,2,203400.0,ASUS Ryzen 7 4GB
Acer,Ryzen 5,12,2028,RTX 2050,16.8,8.9,1.9,Video Editing,2,2,318700.0,Acer Ryzen 5 12GB
MSI,M2,4,512,RTX 3050,15.4,4.8,1.4,Programming,4,3,257900.0,MSI M2 4GB
Dell,Core i7,4,512,RTX 3050,15.1,8.0,3.0,Gaming,3,3,250200.0,Dell Core i7 4GB
Apple,Core i3,4,512,GTX 1650,14.9,6.2,1.2,Gaming,1,1,174000.0,Apple Core i3 4GB
Lenovo,Core i3,32,256,RTX 2050,15.6,8.2,2.5,Office,1,2,259600.0,Lenovo Core i3 32GB
ASUS,Ryzen 5,4,512,RTX 2050,16.5,6.0,2.6,Video Editing,2,2,228600.0,ASUS Ryzen 5 4GB
HP,Core i7,64,512,RTX 4060,15.5,12.4,1.6,Gaming,3,5,493400.0,HP Core i7 64GB
ASUS,Core i7,12,256,RTX 3050,15.9,5.7,2.4,Office,3,3,267500.0,ASUS Core i7 12GB
HP,M1,12,1024,RTX 2050,16.3,13.6,1.4,Gaming,3,2,261200.0,HP M1 12GB
Apple,M2,4,256,GTX 1650,15.4,8.2,1.7,Video Editing,4,1,199100.0,Apple M2 4GB
Apple,M1,32,512,GTX 1650,15.0,12.5,2.6,Design,3,1,258600.0,Apple M1 32GB
Apple,M1,32,256,RTX 2050,16.8,10.3,2.8,Video Editing,3,2,312600.0,Apple M1 32GB
HP,M1,64,1024,RTX 3050,15.0,11.4,2.3,Programming,3,3,432900.0,HP M1 64GB
ASUS,M1,4,256,GTX 1650,15.1,11.7,2.1,Gaming,3,1,142500.0,ASUS M1 4GB
Apple,M1,12,512,RTX 4060,17.3,9.0,1.5,Gaming,3,5,357400.0,Apple M1 12GB
Acer,Ryzen 7,32,1024,GTX 1650,13.3,9.4,1.3,Programming,3,1,234400.0,Acer Ryzen 7 32GB
MSI,Core i7,4,2028,Integrated,14.0,9.1,1.4,Programming,3,0,200000.0,MSI Core i7 4GB
HP,M1,32,512,Integrated,14.8,9.9,1.6,Design,3,0,215100.0,HP M1 32GB
HP,Core i7,32,1024,RTX 3050,17.0,4.3,1.8,Gaming,3,3,337700.0,HP Core i7 32GB
ASUS,Core i7,12,1024,RTX 2050,13.6,8.0,1.9,Gaming,3,2,240900.0,ASUS Core i7 12GB
HP,Core i5,8,2028,RTX 3050,13.3,10.1,1.8,Design,2,3,319300.0,HP Core i5 8GB
HP,Ryzen 7,64,256,RTX 3050,13.5,10.0,1.6,Office,3,3,371800.0,HP Ryzen 7 64GB
Apple,M1,64,256,RTX 3050,13.7,11.9,2.1,Design,3,3,371200.0,Apple M1 64GB
ASUS,Core i3,12,512,RTX 3050,13.5,10.6,2.7,Video Editing,1,3,282600.0,ASUS Core i3 12GB
Apple,Ryzen 5,32,2028,RTX 4060,15.2,13.9,1.7,Gaming,2,5,464400.0,Apple Ryzen 5 32GB
MSI,M2,4,256,RTX 4060,15.6,6.8,2.9,Programming,4,5,320700.0,MSI M2 4GB
MSI,Core i3,32,2028,GTX 1650,14.4,7.6,2.8,Video Editing,1,1,271900.0,MSI Core i3 32GB
Apple,Ryzen 7,12,256,Integrated,14.9,7.8,1.5,Gaming,3,0,156700.0,Apple Ryzen 7 12GB
MSI,Ryzen 5,64,1024,RTX 3050,13.7,8.7,2.6,Design,2,3,407800.0,MSI Ryzen 5 64GB
ASUS,Ryzen 7,32,256,GTX 1650,14.6,12.4,2.2,Video Editing,3,1,261000.0,ASUS Ryzen 7 32GB
Lenovo,Core i7,64,2028,Integrated,15.4,6.4,2.2,Gaming,3,0,359200.0,Lenovo Core i7 64GB
Apple,Ryzen 5,4,1024,RTX 2050,16.2,11.8,1.9,Office,2,2,223400.0,Apple Ryzen 5 4GB
Acer,Core i7,64,1024,RTX 4060,13.3,8.1,2.1,Office,3,5,489100.0,Acer Core i7 64GB
Acer,Core i3,64,1024,Integrated,15.2,10.0,1.9,Programming,1,0,325400.0,Acer Core i3 64GB
HP,Core i3,8,2028,RTX 2050,14.5,10.3,2.2,Gaming,1,2,276400.0,HP Core i3 8GB
MSI,Ryzen 5,8,512,Integrated,16.7,7.7,2.3,Office,2,0,138900.0,MSI Ryzen 5 8GB
Acer,Ryzen 5,8,512,RTX 4060,16.2,9.1,2.4,Design,2,5,345500.0,Acer Ryzen 5 8GB
HP,M1,64,512,RTX 4060,15.7,8.1,2.2,Gaming,3,5,478800.0,HP M1 64GB
Lenovo,Ryzen 7,12,2028,GTX 1650,14.4,4.7,2.5,Design,3,1,256900.0,Lenovo Ryzen 7 12GB
ASUS,M1,64,1024,RTX 3050,16.9,8.4,1.5,Design,3,3,429500.0,ASUS M1 64GB
ASUS,Ryzen 7,12,512,Integrated,13.5,5.0,1.6,Office,3,0,163100.0,ASUS Ryzen 7 12GB
ASUS,M1,12,2028,Integrated,13.7,8.1,2.7,Gaming,3,0,205400.0,ASUS M1 12GB
Acer,Core i7,8,512,RTX 2050,14.9,9.9,1.8,Video Editing,3,2,210900.0,Acer Core i7 8GB
Lenovo,Ryzen 5,32,256,RTX 4060,13.8,9.8,1.2,Office,2,5,382400.0,Lenovo Ryzen 5 32GB
Acer,Core i3,4,512,Integrated,17.1,10.6,1.5,Office,1,0,129500.0,Acer Core i3 4GB
MSI,Ryzen 7,8,512,RTX 4060,16.5,5.0,1.6,Gaming,3,5,347800.0,MSI Ryzen 7 8GB
Acer,Ryzen 7,8,1024,Integrated,14.3,10.5,2.9,Gaming,3,0,172400.0,Acer Ryzen 7 8GB
Lenovo,Core i3,32,2028,GTX 1650,15.7,7.1,2.2,Design,1,1,309900.0,Lenovo Core i3 32GB
Lenovo,M1,4,1024,RTX 3050,17.2,8.0,2.9,Gaming,3,3,299600.0,Lenovo M1 4GB
MSI,Ryzen 7,64,1024,Integrated,16.8,12.6,2.2,Design,3,0,298200.0,MSI Ryzen 7 64GB
Lenovo,M2,64,1024,RTX 4060,15.7,4.1,2.1,Office,4,5,515900.0,Lenovo M2 64GB
Lenovo,Core i7,8,1024,GTX 1650,16.9,9.9,1.8,Programming,3,1,221600.0,Lenovo Core i7 8GB
ASUS,Ryzen 5,4,1024,Integrated,17.3,10.0,2.3,Video Editing,2,0,148700.0,ASUS Ryzen 5 4GB
MSI,Core i3,8,512,RTX 2050,16.3,8.0,1.5,Office,1,2,219300.0,MSI Core i3 8GB
Dell,Ryzen 5,12,1024,RTX 3050,13.6,6.4,2.8,Gaming,2,3,261500.0,Dell Ryzen 5 12GB
Dell,M2,8,1024,Integrated,14.9,6.3,2.7,Video Editing,4,0,181300.0,Dell M2 8GB
Lenovo,Ryzen 7,8,2028,GTX 1650,16.7,12.8,1.8,Programming,3,1,247000.0,Lenovo Ryzen 7 8GB
Dell,Ryzen 7,64,256,RTX 2050,14.2,8.4,2.9,Programming,3,2,363900.0,Dell Ryzen 7 64GB
Dell,M2,64,512,GTX 1650,16.6,7.3,2.7,Design,4,1,335400.0,Dell M2 64GB
Lenovo,Core i3,64,512,GTX 1650,13.8,8.5,2.4,Video Editing,1,1,312100.0,Lenovo Core i3 64GB
Dell,Core i7,12,512,RTX 2050,13.5,10.7,1.4,Design,3,2,206100.0,Dell Core i7 12GB
Acer,Core i5,64,1024,GTX 1650,14.8,5.5,2.1,Office,2,1,320100.0,Acer Core i5 64GB
HP,Core i3,4,1024,RTX 2050,13.4,8.5,2.1,Video Editing,1,2,185300.0,HP Core i3 4GB
MSI,Core i5,32,1024,Integrated,17.1,9.9,1.6,Office,2,0,219800.0,MSI Core i5 32GB
HP,M2,4,2028,RTX 2050,16.6,13.5,1.3,Design,4,2,317100.0,HP M2 4GB
Lenovo,M1,4,256,RTX 2050,16.5,6.5,2.6,Video Editing,3,2,189400.0,Lenovo M1 4GB
ASUS,Core i5,64,1024,RTX 3050,15.8,7.6,1.4,Design,2,3,384900.0,ASUS Core i5 64GB
MSI,Core i7,32,256,RTX 2050,14.2,7.8,2.3,Video Editing,3,2,286300.0,MSI Core i7 32GB
Lenovo,M1,32,2028,RTX 2050,15.4,10.1,2.9,Design,3,2,381800.0,Lenovo M1 32GB
ASUS,Core i5,32,512,Integrated,15.7,7.6,2.8,Programming,2,0,208000.0,ASUS Core i5 32GB
HP,M2,12,1024,RTX 3050,15.4,9.3,1.7,Design,4,3,303500.0,HP M2 12GB
Lenovo,M1,64,256,RTX 4060,14.3,11.8,2.7,Programming,3,5,467500.0,Lenovo M1 64GB
MSI,M2,32,256,Integrated,15.4,11.1,1.2,Design,4,0,171500.0,MSI M2 32GB
MSI,Core i5,12,1024,Integrated,15.3,8.5,1.2,Video Editing,2,0,151100.0,MSI Core i5 12GB
Apple,M2,8,512,RTX 4060,17.3,12.6,2.3,Video Editing,4,5,349600.0,Apple M2 8GB
Acer,Core i7,8,512,RTX 2050,16.9,9.6,1.9,Video Editing,3,2,222600.0,Acer Core i7 8GB
Dell,Core i5,12,512,GTX 1650,15.2,9.4,1.9,Gaming,2,1,190400.0,Dell Core i5 12GB
ASUS,Core i5,12,2028,RTX 3050,15.8,4.3,2.2,Office,2,3,347000.0,ASUS Core i5 12GB
Apple,Core i5,64,256,GTX 1650,16.3,13.9,1.5,Video Editing,2,1,306400.0,Apple Core i5 64GB
Dell,Core i3,64,256,RTX 4060,13.4,5.2,1.6,Programming,1,5,476200.0,Dell Core i3 64GB
Dell,Core i3,8,256,Integrated,16.9,6.3,2.1,Video Editing,1,0,125300.0,Dell Core i3 8GB
Lenovo,Core i3,32,2028,Integrated,16.7,4.5,2.6,Gaming,1,0,279800.0,Lenovo Core i3 32GB
Dell,Core i7,8,256,RTX 3050,15.1,10.4,2.3,Programming,3,3,255800.0,Dell Core i7 8GB
Acer,M1,32,2028,Integrated,14.9,6.2,1.7,Gaming,3,0,258300.0,Acer M1 32GB
MSI,M2,32,512,Integrated,14.4,5.8,2.0,Programming,4,0,206700.0,MSI M2 32GB
Apple,Ryzen 7,64,1024,RTX 3050,15.2,4.9,1.5,Design,3,3,421200.0,Apple Ryzen 7 64GB
Dell,Core i5,4,256,RTX 3050,13.5,5.0,1.3,Office,2,3,238400.0,Dell Core i5 4GB
Lenovo,M2,4,256,RTX 4060,16.7,9.8,2.6,Office,4,5,343700.0,Lenovo M2 4GB
Acer,Core i5,12,512,Integrated,13.4,10.9,1.7,Gaming,2,0,145400.0,Acer Core i5 12GB
HP,Core i7,64,1024,Integrated,14.6,8.0,1.5,Office,3,0,298200.0,HP Core i7 64GB
MSI,Core i5,32,2028,RTX 4060,17.0,8.8,2.4,Gaming,2,5,451300.0,MSI Core i5 32GB
MSI,Core i3,4,1024,RTX 2050,16.2,10.9,2.3,Gaming,1,2,241200.0,MSI Core i3 4GB
Apple,Ryzen 7,32,512,RTX 2050,14.4,4.2,2.3,Gaming,3,2,287900.0,Apple Ryzen 7 32GB
MSI,Ryzen 5,4,512,RTX 2050,14.3,7.2,1.6,Office,2,2,191700.0,MSI Ryzen 5 4GB
Dell,Core i5,4,1024,RTX 4060,13.3,13.7,1.6,Gaming,2,5,359400.0,Dell Core i5 4GB
Lenovo,M2,4,2028,Integrated,16.1,9.8,1.6,Office,4,0,183400.0,Lenovo M2 4GB
MSI,Core i3,64,2028,RTX 4060,13.5,6.5,1.5,Gaming,1,5,550100.0,MSI Core i3 64GB
MSI,Ryzen 5,8,256,RTX 4060,15.4,9.2,2.4,Video Editing,2,5,342800.0,MSI Ryzen 5 8GB
HP,Ryzen 7,32,2028,RTX 2050,17.1,7.4,2.7,Gaming,3,2,357700.0,HP Ryzen 7 32GB
HP,Ryzen 5,64,1024,GTX 1650,13.7,9.3,2.5,Programming,2,1,332400.0,HP Ryzen 5 64GB
ASUS,Core i3,64,512,Integrated,16.9,5.3,2.6,Gaming,1,0,292800.0,ASUS Core i3 64GB
Acer,M1,64,256,RTX 2050,17.3,5.3,1.9,Design,3,2,377300.0,Acer M1 64GB
Dell,M1,64,256,GTX 1650,13.5,5.4,2.4,Gaming,3,1,318600.0,Dell M1 64GB
MSI,Ryzen 5,64,512,GTX 1650,16.8,13.4,1.8,Programming,2,1,316800.0,MSI Ryzen 5 64GB
MSI,Core i7,12,2028,RTX 3050,15.4,11.3,2.1,Programming,3,3,340300.0,MSI Core i7 12GB
Lenovo,M2,32,512,Integrated,16.9,5.6,2.1,Office,4,0,230200.0,Lenovo M2 32GB
ASUS,M2,64,2028,GTX 1650,15.6,5.9,1.5,Video Editing,4,1,422900.0,ASUS M2 64GB
Acer,Ryzen 5,32,512,RTX 2050,15.9,11.3,1.9,Gaming,2,2,281100.0,Acer Ryzen 5 32GB
ASUS,Core i5,12,1024,RTX 3050,15.5,5.6,2.9,Office,2,3,306300.0,ASUS Core i5 12GB
Apple,Core i5,12,2028,Integrated,16.8,6.3,1.6,Video Editing,2,0,234500.0,Apple Core i5 12GB
Acer,M2,32,1024,RTX 4060,16.2,13.6,1.4,Gaming,4,5,419400.0,Acer M2 32GB
MSI,M2,4,256,RTX 2050,15.4,6.6,2.0,Design,4,2,235200.0,MSI M2 4GB
MSI,M1,8,512,GTX 1650,16.8,10.6,2.6,Gaming,3,1,173900.0,MSI M1 8GB
Acer,Core i7,4,256,GTX 1650,14.3,13.8,2.2,Programming,3,1,174300.0,Acer Core i7 4GB
MSI,Core i3,4,256,RTX 2050,13.9,7.7,2.4,Programming,1,2,199500.0,MSI Core i3 4GB
Dell,Core i5,4,256,GTX 1650,13.9,4.2,1.5,Design,2,1,158800.0,Dell Core i5 4GB
Acer,M2,64,256,RTX 3050,14.6,6.4,2.3,Office,4,3,434200.0,Acer M2 64GB
ASUS,M1,12,512,Integrated,14.3,12.3,1.8,Video Editing,3,0,147900.0,ASUS M1 12GB
Acer,Ryzen 7,4,256,RTX 3050,17.0,12.6,2.7,Gaming,3,3,245500.0,Acer Ryzen 7 4GB
MSI,M1,12,512,GTX 1650,13.7,11.7,2.3,Programming,3,1,210600.0,MSI M1 12GB
Dell,Core i5,32,512,RTX 4060,16.1,5.1,1.6,Office,2,5,416200.0,Dell Core i5 32GB
Dell,Core i5,8,1024,Integrated,14.1,12.0,1.3,Design,2,0,178500.0,Dell Core i5 8GB
Apple,M1,32,2028,Integrated,16.8,13.2,1.3,Programming,3,0,272300.0,Apple M1 32GB
ASUS,Core i3,32,2028,RTX 2050,17.1,10.0,1.9,Design,1,2,350200.0,ASUS Core i3 32GB
HP,Ryzen 5,64,512,RTX 2050,15.2,13.4,1.7,Gaming,2,2,390600.0,HP Ryzen 5 64GB
HP,Core i5,8,1024,RTX 4060,16.8,12.3,2.4,Video Editing,2,5,354800.0,HP Core i5 8GB
Acer,M1,32,512,Integrated,13.3,10.7,2.1,Programming,3,0,197800.0,Acer M1 32GB
Apple,M2,32,512,RTX 4060,16.6,9.8,1.7,Programming,4,5,424300.0,Apple M2 32GB
Lenovo,M1,8,512,RTX 2050,14.2,7.5,1.5,Gaming,3,2,219100.0,Lenovo M1 8GB
Acer,Core i7,8,1024,RTX 2050,16.9,5.6,1.4,Office,3,2,242100.0,Acer Core i7 8GB
Apple,Ryzen 5,32,2028,Integrated,13.3,10.0,2.8,Video Editing,2,0,266300.0,Apple Ryzen 5 32GB
ASUS,Ryzen 7,8,1024,RTX 3050,15.5,7.2,1.6,Programming,3,3,306500.0,ASUS Ryzen 7 8GB
ASUS,Core i3,32,256,GTX 1650,16.3,12.7,2.4,Video Editing,1,1,230000.0,ASUS Core i3 32GB
ASUS,Ryzen 7,32,1024,RTX 2050,14.3,13.9,2.7,Programming,3,2,300300.0,ASUS Ryzen 7 32GB
ASUS,Ryzen 5,64,1024,RTX 2050,14.1,11.5,2.3,Video Editing,2,2,369500.0,ASUS Ryzen 5 64GB
ASUS,Ryzen 5,4,1024,RTX 3050,13.6,4.9,2.7,Design,2,3,263300.0,ASUS Ryzen 5 4GB
Apple,Ryzen 5,32,1024,RTX 3050,14.6,6.9,1.9,Programming,2,3,357000.0,Apple Ryzen 5 32GB
Apple,Ryzen 7,12,2028,RTX 4060,15.5,5.1,2.9,Video Editing,3,5,417800.0,Apple Ryzen 7 12GB
Dell,M2,4,256,RTX 4060,13.8,10.5,1.4,Office,4,5,311600.0,Dell M2 4GB
HP,Ryzen 5,4,2028,GTX 1650,14.8,11.7,1.4,Design,2,1,235500.0,HP Ryzen 5 4GB
MSI,M1,4,2028,GTX 1650,13.3,13.3,2.4,Design,3,1,245800.0,MSI M1 4GB
ASUS,Ryzen 7,64,1024,Integrated,16.6,8.4,2.9,Office,3,0,301300.0,ASUS Ryzen 7 64GB
Lenovo,Ryzen 5,32,512,RTX 4060,13.8,13.0,2.7,Video Editing,2,5,378000.0,Lenovo Ryzen 5 32GB
MSI,M1,64,512,RTX 2050,14.4,12.8,1.3,Gaming,3,2,395500.0,MSI M1 64GB
Apple,M2,32,2028,RTX 4060,13.4,7.2,1.7,Office,4,5,442600.0,Apple M2 32GB
Lenovo,Core i7,64,2028,RTX 2050,15.0,12.7,2.9,Video Editing,3,2,419700.0,Lenovo Core i7 64GB
Lenovo,M2,64,1024,RTX 3050,16.7,7.8,1.7,Office,4,3,436500.0,Lenovo M2 64GB
Lenovo,Ryzen 5,12,2028,RTX 4060,14.9,7.0,2.6,Office,2,5,407700.0,Lenovo Ryzen 5 12GB
Dell,Ryzen 7,64,1024,RTX 3050,14.0,10.5,2.7,Programming,3,3,420800.0,Dell Ryzen 7 64GB
Apple,Core i5,8,512,GTX 1650,16.3,7.3,2.1,Video Editing,2,1,194000.0,Apple Core i5 8GB
Lenovo,Ryzen 5,12,512,GTX 1650,16.5,10.3,1.9,Gaming,2,1,160100.0,Lenovo Ryzen 5 12GB
ASUS,Core i5,64,256,Integrated,14.0,10.1,2.0,Programming,2,0,249200.0,ASUS Core i5 64GB
Acer,M1,4,512,RTX 4060,16.4,9.6,1.6,Office,3,5,339300.0,Acer M1 4GB
Lenovo,Core i7,8,2028,RTX 3050,17.1,7.8,2.8,Office,3,3,325400.0,Lenovo Core i7 8GB
Dell,Core i3,8,512,RTX 2050,14.0,9.5,2.0,Office,1,2,217400.0,Dell Core i3 8GB
MSI,M2,8,1024,GTX 1650,16.4,10.0,2.8,Video Editing,4,1,215600.0,MSI M2 8GB
Apple,Core i7,12,512,GTX 1650,16.1,9.5,1.4,Video Editing,3,1,166000.0,Apple Core i7 12GB
Dell,Ryzen 5,64,256,RTX 2050,15.2,8.4,3.0,Programming,2,2,370900.0,Dell Ryzen 5 64GB
Lenovo,Core i5,64,512,RTX 3050,13.5,4.1,2.0,Gaming,2,3,389500.0,Lenovo Core i5 64GB
Apple,M2,4,1024,RTX 3050,13.6,9.9,1.3,Programming,4,3,260800.0,Apple M2 4GB
Acer,Core i5,4,1024,RTX 4060,16.7,5.7,1.3,Design,2,5,360200.0,Acer Core i5 4GB
Lenovo,Ryzen 7,8,2028,RTX 4060,17.3,10.4,2.5,Office,3,5,413600.0,Lenovo Ryzen 7 8GB
Dell,Core i5,4,512,Integrated,16.0,11.6,2.4,Office,2,0,152400.0,Dell Core i5 4GB
HP,Ryzen 7,12,1024,GTX 1650,15.1,9.0,2.6,Office,3,1,219300.0,HP Ryzen 7 12GB
